,PS_TRABAJA-ID1-anho,PS_TRABAJA-HHID-identificacion_cuestionario_del_hogar,PS_TRABAJA-HVIDX-numero_de_orden_en_el_hogar,PS_TRABAJA-QHCLUSTER-conglomerado,PS_TRABAJA-QHNUMBER-vivienda_seleccionada,PS_TRABAJA-QHHOME-hogar_seleccionado,PS_TRABAJA-PS94_1A-hace_cuanto_tiempo_es_beneficiario:_anhos,PS_TRABAJA-PS94_1M-hace_cuanto_tiempo_es_beneficiario:_meses,PS_TRABAJA-PS94_1S-alguien_mas_es_beneficiario,PS_TRABAJA-PS2-numero_de_orden,PS_TRABAJA-PS94_1A-hace_cuanto_tiempo_es_beneficiario:_anhos_LABEL,PS_TRABAJA-PS94_1M-hace_cuanto_tiempo_es_beneficiario:_meses_LABEL,PS_TRABAJA-PS94_1S-alguien_mas_es_beneficiario_LABEL
0,2019,28201601,2,282,16,1,0,1,2,1,0,1,No
1,2019,36403902,3,364,39,2,0,1,2,1,0,1,No
2,2019,51301001,2,513,10,1,0,1,2,1,0,1,No
3,2019,51304801,1,513,48,1,0,1,2,1,0,1,No
4,2019,51307901,2,513,79,1,0,1,2,1,0,1,No
5,2019,51309101,1,513,91,1,0,1,2,1,0,1,No
6,2019,51804601,2,518,46,1,0,1,2,1,0,1,No
7,2019,51804701,3,518,47,1,0,1,2,1,0,1,No
8,2019,78705201,3,787,52,1,0,3,2,1,0,3,No
9,2019,104100201,2,1041,2,1,0,1,2,1,0,1,No
10,2019,104100501,1,1041,5,1,0,4,2,1,0,4,No
11,2019,112901101,2,1129,11,1,0,1,2,1,0,1,No
12,2019,121300101,1,1213,1,1,0,4,2,1,0,4,No
13,2019,121300501,2,1213,5,1,1,1,2,1,1,1,No
14,2019,121300901,1,1213,9,1,2,0,2,1,2,0,No
15,2019,121401001,2,1214,10,1,0,1,2,1,0,1,No
16,2019,121403501,1,1214,35,1,0,2,1,1,0,2,Si
17,2019,121403501,2,1214,35,1,0,2,2,2,0,2,No
18,2019,121403601,4,1214,36,1,0,1,2,1,0,1,No
19,2019,121404201,2,1214,42,1,0,1,2,1,0,1,No
20,2019,121404301,2,1214,43,1,0,1,2,1,0,1,No
21,2019,121404401,2,1214,44,1,0,1,2,1,0,1,No
22,2019,121404601,2,1214,46,1,0,1,2,1,0,1,No
23,2019,124201301,1,1242,13,1,0,1,1,1,0,1,Si
24,2019,124201301,2,1242,13,1,0,1,2,2,0,1,No
25,2019,124202001,2,1242,20,1,0,1,2,1,0,1,No
26,2019,124202101,1,1242,21,1,0,1,1,1,0,1,Si
27,2019,124202101,2,1242,21,1,0,1,2,2,0,1,No
28,2019,124501901,2,1245,19,1,2,0,2,1,2,0,No
29,2019,134200701,1,1342,7,1,1,0,2,1,1,0,No
30,2019,149604201,2,1496,42,1,0,1,2,1,0,1,No
31,2019,149701901,1,1497,19,1,0,2,2,1,0,2,No
32,2019,149702901,2,1497,29,1,0,1,2,1,0,1,No
33,2019,149803101,1,1498,31,1,0,1,2,1,0,1,No
34,2019,149803801,1,1498,38,1,0,1,2,1,0,1,No
35,2019,149807301,1,1498,73,1,0,1,2,1,0,1,No
36,2019,149810901,1,1498,109,1,0,1,2,1,0,1,No
37,2019,149904401,1,1499,44,1,0,1,2,1,0,1,No
38,2019,177100501,2,1771,5,1,0,1,2,1,0,1,No
39,2019,178917001,1,1789,170,1,0,1,2,1,0,1,No
40,2019,178917101,2,1789,171,1,0,1,2,1,0,1,No
41,2019,178917201,2,1789,172,1,0,1,2,1,0,1,No
42,2019,178917301,2,1789,173,1,0,2,2,1,0,2,No
43,2019,178917401,2,1789,174,1,0,1,2,1,0,1,No
44,2019,188203001,2,1882,30,1,0,2,2,1,0,2,No
45,2019,188209001,2,1882,90,1,0,2,2,1,0,2,No
46,2019,189201601,1,1892,16,1,0,1,2,1,0,1,No
47,2019,189201901,9,1892,19,1,0,1,2,1,0,1,No
48,2019,191003801,3,1910,38,1,2,0,1,1,2,0,Si
49,2019,191003801,4,1910,38,1,2,0,2,2,2,0,No
50,2019,194304501,1,1943,45,1,0,3,2,1,0,3,No
51,2019,203410301,2,2034,103,1,0,1,2,1,0,1,No
52,2019,209800101,2,2098,1,1,0,2,2,1,0,2,No
53,2019,209803701,1,2098,37,1,0,2,1,1,0,2,Si
54,2019,209803701,2,2098,37,1,0,2,2,2,0,2,No
55,2019,211903201,1,2119,32,1,0,6,2,1,0,6,No
56,2019,212908601,1,2129,86,1,0,2,1,1,0,2,Si
57,2019,212908601,2,2129,86,1,0,2,2,2,0,2,No
58,2019,235900901,2,2359,9,1,0,2,2,1,0,2,No
59,2019,235901101,1,2359,11,1,0,1,2,1,0,1,No
60,2019,235901201,5,2359,12,1,0,1,1,1,0,1,Si
61,2019,235901201,7,2359,12,1,0,1,2,2,0,1,No
62,2019,235904301,1,2359,43,1,0,2,1,1,0,2,Si
63,2019,235904301,2,2359,43,1,0,2,2,2,0,2,No
64,2019,241904501,2,2419,45,1,0,1,2,1,0,1,No
65,2019,242205701,3,2422,57,1,0,1,2,1,0,1,No
66,2019,243101901,3,2431,19,1,0,1,2,1,0,1,No
67,2019,244705901,1,2447,59,1,5,0,2,1,5,0,No
68,2019,268517301,1,2685,173,1,0,3,2,1,0,3,No
69,2019,269611001,2,2696,110,1,0,1,2,1,0,1,No
70,2019,275115801,1,2751,158,1,0,1,2,1,0,1,No
71,2019,276102201,1,2761,22,1,0,1,2,1,0,1,No
72,2019,276901901,1,2769,19,1,7,10,2,1,7,10,No
73,2019,277803601,2,2778,36,1,98,0,2,1,No sabe,0,No
74,2019,283901001,2,2839,10,1,0,1,2,1,0,1,No
75,2019,283904401,1,2839,44,1,0,1,2,1,0,1,No
76,2019,287100201,2,2871,2,1,0,3,2,1,0,3,No
77,2019,312501001,2,3125,10,1,0,2,2,1,0,2,No
78,2019,312508201,1,3125,82,1,0,2,1,1,0,2,Si
79,2019,312508201,3,3125,82,1,0,2,2,2,0,2,No
80,2019,312508301,2,3125,83,1,0,2,2,1,0,2,No
81,2019,312508501,1,3125,85,1,0,2,2,1,0,2,No
